Riding,Liberal,PC,NDP,Green,Other,Winner,Second,Margin,Polls_Reporting,Registered_Electors,Voter_Turnout,Total_Votes,Votes_Liberal,Votes_PC,Votes_NDP,Votes_Green,Votes_Other
Ajax,0.26,0.39,0.31,0.03,0.02,PC,NDP,0.08,1,87672,0.56,48860,12606,19080,15132,1226,821
Algoma-Manitoulin,0.08,0.25,0.58,0.04,0.05,NDP,PC,0.34,1,52405,0.52,27460,2271,6750,15996,989,1453
Aurora-Oak Ridges-Richmond Hill,0.22,0.56,0.18,0.03,0.02,PC,Liberal,0.34,1,79950,0.56,44996,9719,25211,8117,1197,756
Barrie-Innisfil,0.13,0.50,0.29,0.07,0.02,PC,NDP,0.21,1,79842,0.55,44232,5538,22112,12646,3180,756
Barrie-Springwater-Oro-Medonte,0.14,0.45,0.28,0.12,0.02,PC,NDP,0.17,1,78051,0.59,45691,6209,20447,12889,5355,790
Bay of Quinte,0.15,0.48,0.32,0.03,0.02,PC,NDP,0.16,1,86463,0.58,50486,7512,24258,16070,1732,919
Beaches-East York,0.27,0.18,0.48,0.04,0.02,NDP,Liberal,0.21,1,79496,0.63,49916,13482,9204,24064,2126,1038
Brampton Centre,0.17,0.38,0.38,0.03,0.03,NDP,PC,0.00,1,65506,0.51,33598,5826,12804,12892,1052,1025
Brampton East,0.17,0.34,0.47,0.01,0.02,NDP,PC,0.13,1,71695,0.52,37583,6246,12631,17607,500,598
Brampton North,0.21,0.36,0.38,0.03,0.01,NDP,PC,0.01,1,75193,0.53,39627,8409,14381,14880,1367,590
Brampton South,0.19,0.41,0.34,0.04,0.02,PC,NDP,0.07,1,74770,0.51,38170,7210,15654,12921,1473,912
Brampton West,0.18,0.39,0.38,0.03,0.01,PC,NDP,0.01,1,77058,0.49,37959,7011,14952,14458,998,535
Brantford-Brant,0.09,0.42,0.41,0.05,0.03,PC,NDP,0.01,1,100175,0.57,57310,5439,24082,23457,2705,1628
Bruce-Grey-Owen Sound,0.12,0.55,0.24,0.06,0.03,PC,NDP,0.31,1,81493,0.60,49108,6040,26847,11815,2922,1483
Burlington,0.25,0.40,0.29,0.04,0.02,PC,NDP,0.12,1,97909,0.64,63063,15514,25503,18061,2825,1154
Cambridge,0.23,0.37,0.32,0.06,0.01,PC,NDP,0.04,1,85950,0.56,48132,11191,17794,15638,3018,491
Carleton,0.19,0.51,0.23,0.04,0.03,PC,NDP,0.29,1,78460,0.64,50254,9769,25795,11307,1985,1397
Chatham-Kent-Leamington,0.08,0.52,0.36,0.04,0.01,PC,NDP,0.16,1,80299,0.58,46357,3736,24068,16559,1636,357
Davenport,0.19,0.16,0.60,0.04,0.01,NDP,Liberal,0.42,1,78487,0.58,45805,8552,7370,27602,1626,655
Don Valley East,0.36,0.33,0.27,0.03,0.01,Liberal,PC,0.03,1,64624,0.56,36209,13013,11985,9928,916,366
Don Valley North,0.31,0.44,0.21,0.03,0.01,PC,Liberal,0.14,1,74045,0.54,40310,12468,17914,8429,1016,484
Don Valley West,0.39,0.38,0.19,0.03,0.01,Liberal,PC,0.00,1,72901,0.63,45775,17802,17619,8619,1268,467
Dufferin-Caledon,0.12,0.53,0.20,0.13,0.02,PC,NDP,0.33,1,95569,0.59,55956,6972,29701,11381,7011,895
Durham,0.17,0.47,0.32,0.04,0.01,PC,NDP,0.15,1,98636,0.62,60789,10237,28565,19246,2359,383
Eglinton-Lawrence,0.39,0.40,0.18,0.02,0.01,PC,Liberal,0.01,1,80823,0.63,50514,19534,20282,9153,1227,318
Elgin-Middlesex-London,0.07,0.55,0.32,0.04,0.01,PC,NDP,0.23,1,86787,0.61,52827,3856,29266,16926,2050,729
Essex,0.06,0.42,0.49,0.03,0.00,NDP,PC,0.06,1,92713,0.58,53690,3055,22732,26056,1852,0
Etobicoke Centre,0.34,0.43,0.18,0.02,0.03,PC,Liberal,0.08,1,90209,0.63,57256,19707,24431,10312,1328,1471
Etobicoke North,0.18,0.53,0.25,0.03,0.01,PC,NDP,0.27,1,69877,0.52,36273,6602,19058,9210,990,414
Etobicoke-Lakeshore,0.24,0.38,0.33,0.04,0.01,PC,NDP,0.06,1,97715,0.59,57847,14045,22196,18997,2100,503
Flamborough-Glanbrook,0.15,0.44,0.34,0.04,0.02,PC,NDP,0.09,1,83278,0.62,51591,7966,22457,17629,2306,1228
Glengarry-Prescott-Russell,0.32,0.41,0.22,0.03,0.03,PC,Liberal,0.09,1,85576,0.57,48727,15437,19959,10613,1428,1296
Guelph,0.10,0.22,0.22,0.45,0.01,Green,PC,0.23,1,102213,0.63,64578,6535,14084,13930,29086,943
Haldimand-Norfolk,0.09,0.57,0.27,0.04,0.03,PC,NDP,0.30,1,82178,0.62,50597,4655,28891,13611,2095,1346
Haliburton-Kawartha Lakes-Brock,0.10,0.57,0.26,0.05,0.02,PC,NDP,0.30,1,92570,0.62,57477,5690,32607,15208,2586,1391
Hamilton Centre,0.11,0.16,0.65,0.06,0.02,NDP,PC,0.50,1,72667,0.50,36573,3979,5731,23864,2103,900
Hamilton East-Stoney Creek,0.12,0.29,0.51,0.04,0.04,NDP,PC,0.22,1,81996,0.54,43958,5319,12634,22520,1873,1613
Hamilton Mountain,0.09,0.29,0.55,0.05,0.02,NDP,PC,0.26,1,78459,0.57,44714,4132,12891,24405,2298,984
Hamilton West-Ancaster-Dundas,0.20,0.31,0.43,0.04,0.02,NDP,PC,0.12,1,86596,0.64,55387,10961,17187,23916,2304,1019
Hastings-Lennox and Addington,0.11,0.50,0.32,0.04,0.02,PC,NDP,0.18,1,72957,0.62,45007,5171,22639,14456,1908,828
Humber River-Black Creek,0.28,0.30,0.37,0.02,0.03,NDP,PC,0.07,1,64003,0.48,30939,8641,9368,11574,486,869
Huron-Bruce,0.14,0.52,0.29,0.03,0.01,PC,NDP,0.23,1,81068,0.65,52800,7355,27646,15328,1806,671
